,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
1745,Jameer Nelson,2004,St Joseph's,32,33.9,20.6,5.0,9.6,52.6%,2.3,5.8,39.0%,3.7,4.7,79.2%,1.0,3.7,4.7,5.3,3.0,0.0,2.8,1.8
1746,Juan Mendez,2004,Niagara,32,33.7,20.5,6.0,10.6,56.2%,0.5,1.8,28.8%,7.0,8.6,80.8%,3.5,5.3,8.8,0.9,0.9,1.8,2.2,3.1
1747,Adam Hess,2004,William & Mary,28,36.0,20.3,4.9,9.7,50.4%,2.0,6.8,30.2%,4.4,5.8,75.5%,2.6,4.0,6.7,2.3,1.6,0.1,2.0,3.0
1748,Terrence Woods,2004,FAMU,31,30.1,20.3,1.7,3.8,44.4%,4.5,11.2,40.2%,3.4,3.9,85.2%,0.8,3.1,3.9,1.1,1.5,0.1,2.4,2.2
1749,Ka'Ron Barnes,2004,Cornell,27,35.1,20.1,4.7,10.6,44.8%,2.1,6.0,34.8%,4.4,5.7,77.4%,0.5,3.0,3.5,4.6,1.9,0.3,4.3,3.0
1750,Keydren Clark,2004,St. Peter's,29,38.8,26.7,4.2,9.2,45.3%,3.9,10.2,38.0%,6.8,8.1,83.8%,1.0,3.3,4.3,4.3,1.8,0.1,3.4,2.0
1751,Kevin Martin,2004,WCU,27,31.2,24.9,5.8,10.6,54.7%,1.9,5.6,33.6%,7.6,9.3,81.7%,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9
1752,David Hawkins,2004,Temple,29,38.9,24.4,4.8,10.2,47.5%,2.9,9.5,30.4%,6.1,8.1,75.6%,1.6,3.5,5.1,2.8,2.7,0.3,2.6,2.2
1753,Taylor Coppenrath,2004,Vermont,24,36.3,24.1,7.9,14.6,53.8%,0.6,2.0,29.8%,6.6,8.8,75.0%,3.1,4.1,7.2,1.4,1.3,0.6,2.2,2.2
1754,Luis Flores,2004,Manhattan,31,36.2,24.0,5.4,11.2,47.8%,2.2,5.9,37.4%,6.7,7.8,86.3%,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5
1755,Michael Watson,2004,UMKC,29,37.9,23.4,4.4,10.4,42.9%,3.3,8.9,37.4%,4.6,5.3,86.5%,0.7,2.7,3.4,3.6,1.4,0.2,2.8,2.7
1756,Mike Helms,2004,Oakland,30,30.7,23.2,4.8,10.9,44.2%,2.6,7.6,34.6%,5.6,7.5,75.0%,0.8,2.8,3.6,2.4,1.5,0.5,2.7,3.2
1757,Odell Bradley,2004,IUPUI,29,37.6,23.1,7.0,13.4,52.6%,1.1,3.4,31.3%,5.9,7.7,76.2%,2.3,6.2,8.5,2.3,0.8,0.2,3.4,2.5
1758,Ike Diogu,2004,Arizona St,27,36.9,22.8,6.1,11.1,54.8%,0.5,1.4,37.8%,9.0,11.0,81.5%,3.3,5.6,8.9,1.6,0.5,1.7,3.7,2.9
1759,Derrick Tarver,2004,Akron,27,31.3,22.7,5.5,9.2,59.8%,1.7,5.6,31.1%,6.4,8.5,75.2%,1.0,1.9,2.9,1.6,0.9,0.0,2.8,1.9
1760,Bryant Matthews,2004,Virginia Tech,29,35.4,22.1,6.5,13.0,49.9%,1.1,3.0,36.0%,5.9,8.9,66.4%,4.4,4.6,8.9,1.5,2.5,0.8,3.0,3.7
1761,Andrew Wisniewski,2004,Centenary,28,35.0,21.9,4.6,8.0,57.8%,2.4,5.6,41.8%,5.5,7.0,78.6%,1.0,2.5,3.5,4.3,1.6,0.0,3.1,2.7
1762,Ricky Minard,2004,Morehead St,29,34.3,21.8,5.7,11.3,50.3%,1.6,4.8,32.6%,5.7,7.4,77.6%,1.5,5.8,7.3,5.1,2.1,0.5,3.7,2.5
1763,Kris Humphries,2004,Minnesota,29,34.1,21.7,7.0,15.4,45.5%,0.6,1.7,34.0%,5.9,7.9,74.2%,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2
1764,Luke Jackson,2004,Oregon,31,34.6,21.2,4.4,8.5,51.9%,2.4,5.4,44.0%,5.3,6.1,86.2%,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7
1765,Rommel Marentez,2004,UCD,1,25.0,21.0,5.0,7.0,71.4%,2.0,6.0,33.3%,5.0,5.0,100.0%,0.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0
1766,Dylan Page,2004,Milwaukee,31,31.5,20.9,5.4,9.7,55.6%,1.9,4.7,40.4%,4.3,5.6,77.5%,1.2,5.4,6.6,1.2,0.5,1.2,2.3,2.3
1767,Jose Juan Barea,2004,Northeastern,26,34.2,20.7,4.1,10.1,40.7%,2.8,7.8,35.8%,4.0,5.6,71.9%,0.8,2.8,3.6,5.8,1.7,0.0,3.0,2.4
1768,Ken Tutt,2004,Oral Roberts,28,35.4,20.7,3.3,7.4,44.4%,3.6,8.0,44.9%,3.3,3.9,84.4%,0.5,1.9,2.4,2.0,0.9,0.0,2.0,1.8
1769,Andre Emmett,2004,Texas Tech,34,37.0,20.6,7.2,13.2,54.3%,0.5,1.3,35.6%,4.9,6.6,73.0%,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4
1770,Jameer Nelson,2004,St Joseph's,32,33.9,20.6,5.0,9.6,52.6%,2.3,5.8,39.0%,3.7,4.7,79.2%,1.0,3.7,4.7,5.3,3.0,0.0,2.8,1.8
1771,Juan Mendez,2004,Niagara,32,33.7,20.5,6.0,10.6,56.2%,0.5,1.8,28.8%,7.0,8.6,80.8%,3.5,5.3,8.8,0.9,0.9,1.8,2.2,3.1
1772,Adam Hess,2004,William & Mary,28,36.0,20.3,4.9,9.7,50.4%,2.0,6.8,30.2%,4.4,5.8,75.5%,2.6,4.0,6.7,2.3,1.6,0.1,2.0,3.0
1773,Terrence Woods,2004,FAMU,31,30.1,20.3,1.7,3.8,44.4%,4.5,11.2,40.2%,3.4,3.9,85.2%,0.8,3.1,3.9,1.1,1.5,0.1,2.4,2.2
1774,Ka'Ron Barnes,2004,Cornell,27,35.1,20.1,4.7,10.6,44.8%,2.1,6.0,34.8%,4.4,5.7,77.4%,0.5,3.0,3.5,4.6,1.9,0.3,4.3,3.0
1775,Keydren Clark,2004,St. Peter's,29,38.8,26.7,4.2,9.2,45.3%,3.9,10.2,38.0%,6.8,8.1,83.8%,1.0,3.3,4.3,4.3,1.8,0.1,3.4,2.0
1776,Kevin Martin,2004,WCU,27,31.2,24.9,5.8,10.6,54.7%,1.9,5.6,33.6%,7.6,9.3,81.7%,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9
1777,David Hawkins,2004,Temple,29,38.9,24.4,4.8,10.2,47.5%,2.9,9.5,30.4%,6.1,8.1,75.6%,1.6,3.5,5.1,2.8,2.7,0.3,2.6,2.2
1778,Taylor Coppenrath,2004,Vermont,24,36.3,24.1,7.9,14.6,53.8%,0.6,2.0,29.8%,6.6,8.8,75.0%,3.1,4.1,7.2,1.4,1.3,0.6,2.2,2.2
1779,Luis Flores,2004,Manhattan,31,36.2,24.0,5.4,11.2,47.8%,2.2,5.9,37.4%,6.7,7.8,86.3%,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5
1780,Michael Watson,2004,UMKC,29,37.9,23.4,4.4,10.4,42.9%,3.3,8.9,37.4%,4.6,5.3,86.5%,0.7,2.7,3.4,3.6,1.4,0.2,2.8,2.7
1781,Mike Helms,2004,Oakland,30,30.7,23.2,4.8,10.9,44.2%,2.6,7.6,34.6%,5.6,7.5,75.0%,0.8,2.8,3.6,2.4,1.5,0.5,2.7,3.2
1782,Odell Bradley,2004,IUPUI,29,37.6,23.1,7.0,13.4,52.6%,1.1,3.4,31.3%,5.9,7.7,76.2%,2.3,6.2,8.5,2.3,0.8,0.2,3.4,2.5
1783,Ike Diogu,2004,Arizona St,27,36.9,22.8,6.1,11.1,54.8%,0.5,1.4,37.8%,9.0,11.0,81.5%,3.3,5.6,8.9,1.6,0.5,1.7,3.7,2.9
1784,Derrick Tarver,2004,Akron,27,31.3,22.7,5.5,9.2,59.8%,1.7,5.6,31.1%,6.4,8.5,75.2%,1.0,1.9,2.9,1.6,0.9,0.0,2.8,1.9
1785,Bryant Matthews,2004,Virginia Tech,29,35.4,22.1,6.5,13.0,49.9%,1.1,3.0,36.0%,5.9,8.9,66.4%,4.4,4.6,8.9,1.5,2.5,0.8,3.0,3.7
1786,Andrew Wisniewski,2004,Centenary,28,35.0,21.9,4.6,8.0,57.8%,2.4,5.6,41.8%,5.5,7.0,78.6%,1.0,2.5,3.5,4.3,1.6,0.0,3.1,2.7
1787,Ricky Minard,2004,Morehead St,29,34.3,21.8,5.7,11.3,50.3%,1.6,4.8,32.6%,5.7,7.4,77.6%,1.5,5.8,7.3,5.1,2.1,0.5,3.7,2.5
1788,Kris Humphries,2004,Minnesota,29,34.1,21.7,7.0,15.4,45.5%,0.6,1.7,34.0%,5.9,7.9,74.2%,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2
1789,Luke Jackson,2004,Oregon,31,34.6,21.2,4.4,8.5,51.9%,2.4,5.4,44.0%,5.3,6.1,86.2%,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7
1790,Rommel Marentez,2004,UCD,1,25.0,21.0,5.0,7.0,71.4%,2.0,6.0,33.3%,5.0,5.0,100.0%,0.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0
1791,Dylan Page,2004,Milwaukee,31,31.5,20.9,5.4,9.7,55.6%,1.9,4.7,40.4%,4.3,5.6,77.5%,1.2,5.4,6.6,1.2,0.5,1.2,2.3,2.3
1792,Jose Juan Barea,2004,Northeastern,26,34.2,20.7,4.1,10.1,40.7%,2.8,7.8,35.8%,4.0,5.6,71.9%,0.8,2.8,3.6,5.8,1.7,0.0,3.0,2.4
1793,Ken Tutt,2004,Oral Roberts,28,35.4,20.7,3.3,7.4,44.4%,3.6,8.0,44.9%,3.3,3.9,84.4%,0.5,1.9,2.4,2.0,0.9,0.0,2.0,1.8
1794,Andre Emmett,2004,Texas Tech,34,37.0,20.6,7.2,13.2,54.3%,0.5,1.3,35.6%,4.9,6.6,73.0%,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4
1795,Jameer Nelson,2004,St Joseph's,32,33.9,20.6,5.0,9.6,52.6%,2.3,5.8,39.0%,3.7,4.7,79.2%,1.0,3.7,4.7,5.3,3.0,0.0,2.8,1.8
1796,Juan Mendez,2004,Niagara,32,33.7,20.5,6.0,10.6,56.2%,0.5,1.8,28.8%,7.0,8.6,80.8%,3.5,5.3,8.8,0.9,0.9,1.8,2.2,3.1
1797,Adam Hess,2004,William & Mary,28,36.0,20.3,4.9,9.7,50.4%,2.0,6.8,30.2%,4.4,5.8,75.5%,2.6,4.0,6.7,2.3,1.6,0.1,2.0,3.0
1798,Terrence Woods,2004,FAMU,31,30.1,20.3,1.7,3.8,44.4%,4.5,11.2,40.2%,3.4,3.9,85.2%,0.8,3.1,3.9,1.1,1.5,0.1,2.4,2.2
1799,Ka'Ron Barnes,2004,Cornell,27,35.1,20.1,4.7,10.6,44.8%,2.1,6.0,34.8%,4.4,5.7,77.4%,0.5,3.0,3.5,4.6,1.9,0.3,4.3,3.0
1800,Keydren Clark,2004,St. Peter's,29,38.8,26.7,4.2,9.2,45.3%,3.9,10.2,38.0%,6.8,8.1,83.8%,1.0,3.3,4.3,4.3,1.8,0.1,3.4,2.0
1801,Kevin Martin,2004,WCU,27,31.2,24.9,5.8,10.6,54.7%,1.9,5.6,33.6%,7.6,9.3,81.7%,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9
1802,David Hawkins,2004,Temple,29,38.9,24.4,4.8,10.2,47.5%,2.9,9.5,30.4%,6.1,8.1,75.6%,1.6,3.5,5.1,2.8,2.7,0.3,2.6,2.2
1803,Taylor Coppenrath,2004,Vermont,24,36.3,24.1,7.9,14.6,53.8%,0.6,2.0,29.8%,6.6,8.8,75.0%,3.1,4.1,7.2,1.4,1.3,0.6,2.2,2.2
1804,Luis Flores,2004,Manhattan,31,36.2,24.0,5.4,11.2,47.8%,2.2,5.9,37.4%,6.7,7.8,86.3%,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5
1805,Michael Watson,2004,UMKC,29,37.9,23.4,4.4,10.4,42.9%,3.3,8.9,37.4%,4.6,5.3,86.5%,0.7,2.7,3.4,3.6,1.4,0.2,2.8,2.7
1806,Mike Helms,2004,Oakland,30,30.7,23.2,4.8,10.9,44.2%,2.6,7.6,34.6%,5.6,7.5,75.0%,0.8,2.8,3.6,2.4,1.5,0.5,2.7,3.2
1807,Odell Bradley,2004,IUPUI,29,37.6,23.1,7.0,13.4,52.6%,1.1,3.4,31.3%,5.9,7.7,76.2%,2.3,6.2,8.5,2.3,0.8,0.2,3.4,2.5
1808,Ike Diogu,2004,Arizona St,27,36.9,22.8,6.1,11.1,54.8%,0.5,1.4,37.8%,9.0,11.0,81.5%,3.3,5.6,8.9,1.6,0.5,1.7,3.7,2.9
1809,Derrick Tarver,2004,Akron,27,31.3,22.7,5.5,9.2,59.8%,1.7,5.6,31.1%,6.4,8.5,75.2%,1.0,1.9,2.9,1.6,0.9,0.0,2.8,1.9
1810,Bryant Matthews,2004,Virginia Tech,29,35.4,22.1,6.5,13.0,49.9%,1.1,3.0,36.0%,5.9,8.9,66.4%,4.4,4.6,8.9,1.5,2.5,0.8,3.0,3.7
1811,Andrew Wisniewski,2004,Centenary,28,35.0,21.9,4.6,8.0,57.8%,2.4,5.6,41.8%,5.5,7.0,78.6%,1.0,2.5,3.5,4.3,1.6,0.0,3.1,2.7
1812,Ricky Minard,2004,Morehead St,29,34.3,21.8,5.7,11.3,50.3%,1.6,4.8,32.6%,5.7,7.4,77.6%,1.5,5.8,7.3,5.1,2.1,0.5,3.7,2.5
1813,Kris Humphries,2004,Minnesota,29,34.1,21.7,7.0,15.4,45.5%,0.6,1.7,34.0%,5.9,7.9,74.2%,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2
1814,Luke Jackson,2004,Oregon,31,34.6,21.2,4.4,8.5,51.9%,2.4,5.4,44.0%,5.3,6.1,86.2%,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7
1815,Rommel Marentez,2004,UCD,1,25.0,21.0,5.0,7.0,71.4%,2.0,6.0,33.3%,5.0,5.0,100.0%,0.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0
1816,Dylan Page,2004,Milwaukee,31,31.5,20.9,5.4,9.7,55.6%,1.9,4.7,40.4%,4.3,5.6,77.5%,1.2,5.4,6.6,1.2,0.5,1.2,2.3,2.3
1817,Jose Juan Barea,2004,Northeastern,26,34.2,20.7,4.1,10.1,40.7%,2.8,7.8,35.8%,4.0,5.6,71.9%,0.8,2.8,3.6,5.8,1.7,0.0,3.0,2.4
1818,Ken Tutt,2004,Oral Roberts,28,35.4,20.7,3.3,7.4,44.4%,3.6,8.0,44.9%,3.3,3.9,84.4%,0.5,1.9,2.4,2.0,0.9,0.0,2.0,1.8
1819,Andre Emmett,2004,Texas Tech,34,37.0,20.6,7.2,13.2,54.3%,0.5,1.3,35.6%,4.9,6.6,73.0%,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4
1820,Jameer Nelson,2004,St Joseph's,32,33.9,20.6,5.0,9.6,52.6%,2.3,5.8,39.0%,3.7,4.7,79.2%,1.0,3.7,4.7,5.3,3.0,0.0,2.8,1.8
1821,Juan Mendez,2004,Niagara,32,33.7,20.5,6.0,10.6,56.2%,0.5,1.8,28.8%,7.0,8.6,80.8%,3.5,5.3,8.8,0.9,0.9,1.8,2.2,3.1
1822,Adam Hess,2004,William & Mary,28,36.0,20.3,4.9,9.7,50.4%,2.0,6.8,30.2%,4.4,5.8,75.5%,2.6,4.0,6.7,2.3,1.6,0.1,2.0,3.0
1823,Terrence Woods,2004,FAMU,31,30.1,20.3,1.7,3.8,44.4%,4.5,11.2,40.2%,3.4,3.9,85.2%,0.8,3.1,3.9,1.1,1.5,0.1,2.4,2.2
1824,Ka'Ron Barnes,2004,Cornell,27,35.1,20.1,4.7,10.6,44.8%,2.1,6.0,34.8%,4.4,5.7,77.4%,0.5,3.0,3.5,4.6,1.9,0.3,4.3,3.0
1825,Keydren Clark,2004,St. Peter's,29,38.8,26.7,4.2,9.2,45.3%,3.9,10.2,38.0%,6.8,8.1,83.8%,1.0,3.3,4.3,4.3,1.8,0.1,3.4,2.0
1826,Kevin Martin,2004,WCU,27,31.2,24.9,5.8,10.6,54.7%,1.9,5.6,33.6%,7.6,9.3,81.7%,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9
1827,David Hawkins,2004,Temple,29,38.9,24.4,4.8,10.2,47.5%,2.9,9.5,30.4%,6.1,8.1,75.6%,1.6,3.5,5.1,2.8,2.7,0.3,2.6,2.2
1828,Taylor Coppenrath,2004,Vermont,24,36.3,24.1,7.9,14.6,53.8%,0.6,2.0,29.8%,6.6,8.8,75.0%,3.1,4.1,7.2,1.4,1.3,0.6,2.2,2.2
1829,Luis Flores,2004,Manhattan,31,36.2,24.0,5.4,11.2,47.8%,2.2,5.9,37.4%,6.7,7.8,86.3%,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5
1830,Michael Watson,2004,UMKC,29,37.9,23.4,4.4,10.4,42.9%,3.3,8.9,37.4%,4.6,5.3,86.5%,0.7,2.7,3.4,3.6,1.4,0.2,2.8,2.7
1831,Mike Helms,2004,Oakland,30,30.7,23.2,4.8,10.9,44.2%,2.6,7.6,34.6%,5.6,7.5,75.0%,0.8,2.8,3.6,2.4,1.5,0.5,2.7,3.2
1832,Odell Bradley,2004,IUPUI,29,37.6,23.1,7.0,13.4,52.6%,1.1,3.4,31.3%,5.9,7.7,76.2%,2.3,6.2,8.5,2.3,0.8,0.2,3.4,2.5
1833,Ike Diogu,2004,Arizona St,27,36.9,22.8,6.1,11.1,54.8%,0.5,1.4,37.8%,9.0,11.0,81.5%,3.3,5.6,8.9,1.6,0.5,1.7,3.7,2.9
1834,Derrick Tarver,2004,Akron,27,31.3,22.7,5.5,9.2,59.8%,1.7,5.6,31.1%,6.4,8.5,75.2%,1.0,1.9,2.9,1.6,0.9,0.0,2.8,1.9
1835,Bryant Matthews,2004,Virginia Tech,29,35.4,22.1,6.5,13.0,49.9%,1.1,3.0,36.0%,5.9,8.9,66.4%,4.4,4.6,8.9,1.5,2.5,0.8,3.0,3.7
1836,Andrew Wisniewski,2004,Centenary,28,35.0,21.9,4.6,8.0,57.8%,2.4,5.6,41.8%,5.5,7.0,78.6%,1.0,2.5,3.5,4.3,1.6,0.0,3.1,2.7
1837,Ricky Minard,2004,Morehead St,29,34.3,21.8,5.7,11.3,50.3%,1.6,4.8,32.6%,5.7,7.4,77.6%,1.5,5.8,7.3,5.1,2.1,0.5,3.7,2.5
1838,Kris Humphries,2004,Minnesota,29,34.1,21.7,7.0,15.4,45.5%,0.6,1.7,34.0%,5.9,7.9,74.2%,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2
1839,Luke Jackson,2004,Oregon,31,34.6,21.2,4.4,8.5,51.9%,2.4,5.4,44.0%,5.3,6.1,86.2%,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7
1840,Rommel Marentez,2004,UCD,1,25.0,21.0,5.0,7.0,71.4%,2.0,6.0,33.3%,5.0,5.0,100.0%,0.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0
1841,Dylan Page,2004,Milwaukee,31,31.5,20.9,5.4,9.7,55.6%,1.9,4.7,40.4%,4.3,5.6,77.5%,1.2,5.4,6.6,1.2,0.5,1.2,2.3,2.3
1842,Jose Juan Barea,2004,Northeastern,26,34.2,20.7,4.1,10.1,40.7%,2.8,7.8,35.8%,4.0,5.6,71.9%,0.8,2.8,3.6,5.8,1.7,0.0,3.0,2.4
1843,Ken Tutt,2004,Oral Roberts,28,35.4,20.7,3.3,7.4,44.4%,3.6,8.0,44.9%,3.3,3.9,84.4%,0.5,1.9,2.4,2.0,0.9,0.0,2.0,1.8
1844,Andre Emmett,2004,Texas Tech,34,37.0,20.6,7.2,13.2,54.3%,0.5,1.3,35.6%,4.9,6.6,73.0%,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4
1845,Jameer Nelson,2004,St Joseph's,32,33.9,20.6,5.0,9.6,52.6%,2.3,5.8,39.0%,3.7,4.7,79.2%,1.0,3.7,4.7,5.3,3.0,0.0,2.8,1.8
1846,Juan Mendez,2004,Niagara,32,33.7,20.5,6.0,10.6,56.2%,0.5,1.8,28.8%,7.0,8.6,80.8%,3.5,5.3,8.8,0.9,0.9,1.8,2.2,3.1
1847,Adam Hess,2004,William & Mary,28,36.0,20.3,4.9,9.7,50.4%,2.0,6.8,30.2%,4.4,5.8,75.5%,2.6,4.0,6.7,2.3,1.6,0.1,2.0,3.0
1848,Terrence Woods,2004,FAMU,31,30.1,20.3,1.7,3.8,44.4%,4.5,11.2,40.2%,3.4,3.9,85.2%,0.8,3.1,3.9,1.1,1.5,0.1,2.4,2.2
1849,Ka'Ron Barnes,2004,Cornell,27,35.1,20.1,4.7,10.6,44.8%,2.1,6.0,34.8%,4.4,5.7,77.4%,0.5,3.0,3.5,4.6,1.9,0.3,4.3,3.0
1850,Keydren Clark,2004,St. Peter's,29,38.8,26.7,4.2,9.2,45.3%,3.9,10.2,38.0%,6.8,8.1,83.8%,1.0,3.3,4.3,4.3,1.8,0.1,3.4,2.0
1851,Kevin Martin,2004,WCU,27,31.2,24.9,5.8,10.6,54.7%,1.9,5.6,33.6%,7.6,9.3,81.7%,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9
1852,David Hawkins,2004,Temple,29,38.9,24.4,4.8,10.2,47.5%,2.9,9.5,30.4%,6.1,8.1,75.6%,1.6,3.5,5.1,2.8,2.7,0.3,2.6,2.2
1853,Taylor Coppenrath,2004,Vermont,24,36.3,24.1,7.9,14.6,53.8%,0.6,2.0,29.8%,6.6,8.8,75.0%,3.1,4.1,7.2,1.4,1.3,0.6,2.2,2.2
1854,Luis Flores,2004,Manhattan,31,36.2,24.0,5.4,11.2,47.8%,2.2,5.9,37.4%,6.7,7.8,86.3%,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5
1855,Michael Watson,2004,UMKC,29,37.9,23.4,4.4,10.4,42.9%,3.3,8.9,37.4%,4.6,5.3,86.5%,0.7,2.7,3.4,3.6,1.4,0.2,2.8,2.7
1856,Mike Helms,2004,Oakland,30,30.7,23.2,4.8,10.9,44.2%,2.6,7.6,34.6%,5.6,7.5,75.0%,0.8,2.8,3.6,2.4,1.5,0.5,2.7,3.2
1857,Odell Bradley,2004,IUPUI,29,37.6,23.1,7.0,13.4,52.6%,1.1,3.4,31.3%,5.9,7.7,76.2%,2.3,6.2,8.5,2.3,0.8,0.2,3.4,2.5
1858,Ike Diogu,2004,Arizona St,27,36.9,22.8,6.1,11.1,54.8%,0.5,1.4,37.8%,9.0,11.0,81.5%,3.3,5.6,8.9,1.6,0.5,1.7,3.7,2.9
1859,Derrick Tarver,2004,Akron,27,31.3,22.7,5.5,9.2,59.8%,1.7,5.6,31.1%,6.4,8.5,75.2%,1.0,1.9,2.9,1.6,0.9,0.0,2.8,1.9
1860,Bryant Matthews,2004,Virginia Tech,29,35.4,22.1,6.5,13.0,49.9%,1.1,3.0,36.0%,5.9,8.9,66.4%,4.4,4.6,8.9,1.5,2.5,0.8,3.0,3.7
1861,Andrew Wisniewski,2004,Centenary,28,35.0,21.9,4.6,8.0,57.8%,2.4,5.6,41.8%,5.5,7.0,78.6%,1.0,2.5,3.5,4.3,1.6,0.0,3.1,2.7
1862,Ricky Minard,2004,Morehead St,29,34.3,21.8,5.7,11.3,50.3%,1.6,4.8,32.6%,5.7,7.4,77.6%,1.5,5.8,7.3,5.1,2.1,0.5,3.7,2.5
1863,Kris Humphries,2004,Minnesota,29,34.1,21.7,7.0,15.4,45.5%,0.6,1.7,34.0%,5.9,7.9,74.2%,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2
1864,Luke Jackson,2004,Oregon,31,34.6,21.2,4.4,8.5,51.9%,2.4,5.4,44.0%,5.3,6.1,86.2%,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7
1865,Rommel Marentez,2004,UCD,1,25.0,21.0,5.0,7.0,71.4%,2.0,6.0,33.3%,5.0,5.0,100.0%,0.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0
1866,Dylan Page,2004,Milwaukee,31,31.5,20.9,5.4,9.7,55.6%,1.9,4.7,40.4%,4.3,5.6,77.5%,1.2,5.4,6.6,1.2,0.5,1.2,2.3,2.3
1867,Jose Juan Barea,2004,Northeastern,26,34.2,20.7,4.1,10.1,40.7%,2.8,7.8,35.8%,4.0,5.6,71.9%,0.8,2.8,3.6,5.8,1.7,0.0,3.0,2.4
1868,Ken Tutt,2004,Oral Roberts,28,35.4,20.7,3.3,7.4,44.4%,3.6,8.0,44.9%,3.3,3.9,84.4%,0.5,1.9,2.4,2.0,0.9,0.0,2.0,1.8
1869,Andre Emmett,2004,Texas Tech,34,37.0,20.6,7.2,13.2,54.3%,0.5,1.3,35.6%,4.9,6.6,73.0%,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4
1870,Jameer Nelson,2004,St Joseph's,32,33.9,20.6,5.0,9.6,52.6%,2.3,5.8,39.0%,3.7,4.7,79.2%,1.0,3.7,4.7,5.3,3.0,0.0,2.8,1.8
1871,Juan Mendez,2004,Niagara,32,33.7,20.5,6.0,10.6,56.2%,0.5,1.8,28.8%,7.0,8.6,80.8%,3.5,5.3,8.8,0.9,0.9,1.8,2.2,3.1
1872,Adam Hess,2004,William & Mary,28,36.0,20.3,4.9,9.7,50.4%,2.0,6.8,30.2%,4.4,5.8,75.5%,2.6,4.0,6.7,2.3,1.6,0.1,2.0,3.0
1873,Terrence Woods,2004,FAMU,31,30.1,20.3,1.7,3.8,44.4%,4.5,11.2,40.2%,3.4,3.9,85.2%,0.8,3.1,3.9,1.1,1.5,0.1,2.4,2.2
1874,Ka'Ron Barnes,2004,Cornell,27,35.1,20.1,4.7,10.6,44.8%,2.1,6.0,34.8%,4.4,5.7,77.4%,0.5,3.0,3.5,4.6,1.9,0.3,4.3,3.0
1875,Keydren Clark,2004,St. Peter's,29,38.8,26.7,4.2,9.2,45.3%,3.9,10.2,38.0%,6.8,8.1,83.8%,1.0,3.3,4.3,4.3,1.8,0.1,3.4,2.0
1876,Kevin Martin,2004,WCU,27,31.2,24.9,5.8,10.6,54.7%,1.9,5.6,33.6%,7.6,9.3,81.7%,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9
1877,David Hawkins,2004,Temple,29,38.9,24.4,4.8,10.2,47.5%,2.9,9.5,30.4%,6.1,8.1,75.6%,1.6,3.5,5.1,2.8,2.7,0.3,2.6,2.2
1878,Taylor Coppenrath,2004,Vermont,24,36.3,24.1,7.9,14.6,53.8%,0.6,2.0,29.8%,6.6,8.8,75.0%,3.1,4.1,7.2,1.4,1.3,0.6,2.2,2.2
1879,Luis Flores,2004,Manhattan,31,36.2,24.0,5.4,11.2,47.8%,2.2,5.9,37.4%,6.7,7.8,86.3%,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5
1880,Michael Watson,2004,UMKC,29,37.9,23.4,4.4,10.4,42.9%,3.3,8.9,37.4%,4.6,5.3,86.5%,0.7,2.7,3.4,3.6,1.4,0.2,2.8,2.7
1881,Mike Helms,2004,Oakland,30,30.7,23.2,4.8,10.9,44.2%,2.6,7.6,34.6%,5.6,7.5,75.0%,0.8,2.8,3.6,2.4,1.5,0.5,2.7,3.2
